NFR,Rank,FR,Similarity
NFR1,1,FR47,0.236
NFR1,2,FR59,0.231
NFR1,3,FR11,0.222
NFR1,4,FR55,0.222
NFR1,5,FR18,0.216
NFR1,6,FR46,0.215
NFR1,7,FR52,0.214
NFR1,8,FR13,0.213
NFR1,9,FR10,0.212
NFR1,10,FR12,0.210
NFR1,11,FR45,0.208
NFR1,12,FR4,0.201
NFR1,13,FR21,0.197
NFR1,14,FR33,0.196
NFR1,15,FR36,0.192
NFR1,16,FR19,0.192
NFR1,17,FR34,0.185
NFR1,18,FR20,0.182
NFR1,19,FR54,0.177
NFR1,20,FR9,0.174
NFR1,21,FR16,0.172
NFR1,22,FR15,0.164
NFR1,23,FR14,0.150
NFR1,24,FR60,0.137
NFR1,25,FR31,0.122
NFR1,26,FR30,0.116
NFR1,27,FR49,0.111
NFR1,28,FR8,0.110
NFR1,29,FR40,0.102
NFR1,30,FR38,0.101
NFR1,31,FR22,0.097
NFR1,32,FR53,0.096
NFR1,33,FR37,0.095
NFR1,34,FR42,0.095
NFR1,35,FR43,0.093
NFR1,36,FR51,0.093
NFR1,37,FR39,0.087
NFR1,38,FR5,0.085
NFR1,39,FR50,0.084
NFR1,40,FR58,0.083
NFR1,41,FR32,0.081
NFR1,42,FR7,0.080
NFR1,43,FR28,0.078
NFR1,44,FR41,0.078
NFR1,45,FR23,0.076
NFR1,46,FR17,0.076
NFR1,47,FR6,0.075
NFR1,48,FR57,0.075
NFR1,49,FR44,0.074
NFR1,50,FR26,0.070
NFR1,51,FR25,0.066
NFR1,52,FR35,0.065
NFR1,53,FR29,0.065
NFR1,54,FR48,0.062
NFR1,55,FR27,0.058
NFR1,56,FR1,0.050
NFR1,57,FR56,0.047
NFR1,58,FR3,0.036
NFR1,59,FR2,0.027
NFR1,60,FR24,0.026
NFR2,1,FR38,0.291
NFR2,2,FR39,0.191
NFR2,3,FR56,0.186
NFR2,4,FR58,0.181
NFR2,5,FR44,0.163
NFR2,6,FR54,0.163
NFR2,7,FR46,0.148
NFR2,8,FR4,0.147
NFR2,9,FR41,0.132
NFR2,10,FR10,0.126
NFR2,11,FR47,0.125
NFR2,12,FR30,0.121
NFR2,13,FR45,0.111
NFR2,14,FR52,0.109
NFR2,15,FR33,0.106
NFR2,16,FR8,0.102
NFR2,17,FR1,0.102
NFR2,18,FR12,0.098
NFR2,19,FR28,0.097
NFR2,20,FR26,0.097
NFR2,21,FR9,0.096
NFR2,22,FR7,0.095
NFR2,23,FR55,0.093
NFR2,24,FR23,0.091
NFR2,25,FR49,0.082
NFR2,26,FR13,0.082
NFR2,27,FR57,0.081
NFR2,28,FR35,0.078
NFR2,29,FR6,0.076
NFR2,30,FR18,0.074
NFR2,31,FR21,0.072
NFR2,32,FR53,0.072
NFR2,33,FR40,0.072
NFR2,34,FR37,0.072
NFR2,35,FR42,0.071
NFR2,36,FR34,0.071
NFR2,37,FR19,0.071
NFR2,38,FR43,0.070
NFR2,39,FR14,0.068
NFR2,40,FR20,0.067
NFR2,41,FR51,0.065
NFR2,42,FR59,0.064
NFR2,43,FR50,0.063
NFR2,44,FR22,0.063
NFR2,45,FR11,0.061
NFR2,46,FR48,0.060
NFR2,47,FR3,0.059
NFR2,48,FR60,0.056
NFR2,49,FR32,0.055
NFR2,50,FR36,0.053
NFR2,51,FR5,0.050
NFR2,52,FR17,0.046
NFR2,53,FR24,0.043
NFR2,54,FR25,0.040
NFR2,55,FR29,0.039
NFR2,56,FR15,0.038
NFR2,57,FR27,0.035
NFR2,58,FR16,0.028
NFR2,59,FR31,0.018
NFR2,60,FR2,0.017
NFR3,1,FR18,0.477
NFR3,2,FR34,0.199
NFR3,3,FR16,0.190
NFR3,4,FR47,0.145
NFR3,5,FR10,0.143
NFR3,6,FR21,0.139
NFR3,7,FR9,0.139
NFR3,8,FR19,0.136
NFR3,9,FR36,0.133
NFR3,10,FR11,0.132
NFR3,11,FR46,0.130
NFR3,12,FR20,0.129
NFR3,13,FR45,0.128
NFR3,14,FR12,0.124
NFR3,15,FR24,0.117
NFR3,16,FR55,0.114
NFR3,17,FR15,0.112
NFR3,18,FR59,0.104
NFR3,19,FR14,0.103
NFR3,20,FR13,0.102
NFR3,21,FR17,0.098
NFR3,22,FR54,0.095
NFR3,23,FR33,0.094
NFR3,24,FR5,0.077
NFR3,25,FR8,0.073
NFR3,26,FR23,0.069
NFR3,27,FR6,0.068
NFR3,28,FR38,0.068
NFR3,29,FR22,0.067
NFR3,30,FR39,0.065
NFR3,31,FR52,0.059
NFR3,32,FR27,0.052
NFR3,33,FR56,0.048
NFR3,34,FR7,0.010
NFR3,35,FR53,0.009
NFR3,36,FR37,0.009
NFR3,37,FR42,0.009
NFR3,38,FR43,0.009
NFR3,39,FR30,0.008
NFR3,40,FR28,0.008
NFR3,41,FR25,0.008
NFR3,42,FR35,0.008
NFR3,43,FR50,0.008
NFR3,44,FR29,0.008
NFR3,45,FR58,0.008
NFR3,46,FR3,0.008
NFR3,47,FR40,0.007
NFR3,48,FR51,0.007
NFR3,49,FR1,0.006
NFR3,50,FR31,0.006
NFR3,51,FR49,0.006
NFR3,52,FR4,0.006
NFR3,53,FR2,0.006
NFR3,54,FR57,0.005
NFR3,55,FR32,0.005
NFR3,56,FR48,0.004
NFR3,57,FR60,0.004
NFR3,58,FR26,0.000
NFR3,59,FR41,0.000
NFR3,60,FR44,0.000
