NFR,Rank,FR,Similarity
NFR1,1,FR54,0.163
NFR1,2,FR47,0.159
NFR1,3,FR59,0.149
NFR1,4,FR11,0.146
NFR1,5,FR45,0.137
NFR1,6,FR46,0.125
NFR1,7,FR13,0.117
NFR1,8,FR55,0.114
NFR1,9,FR34,0.105
NFR1,10,FR16,0.100
NFR1,11,FR10,0.099
NFR1,12,FR36,0.099
NFR1,13,FR9,0.096
NFR1,14,FR33,0.091
NFR1,15,FR52,0.083
NFR1,16,FR18,0.081
NFR1,17,FR14,0.080
NFR1,18,FR15,0.079
NFR1,19,FR21,0.073
NFR1,20,FR19,0.070
NFR1,21,FR20,0.066
NFR1,22,FR31,0.056
NFR1,23,FR12,0.055
NFR1,24,FR58,0.054
NFR1,25,FR53,0.052
NFR1,26,FR37,0.052
NFR1,27,FR42,0.052
NFR1,28,FR43,0.052
NFR1,29,FR50,0.046
NFR1,30,FR40,0.043
NFR1,31,FR60,0.042
NFR1,32,FR39,0.041
NFR1,33,FR51,0.041
NFR1,34,FR4,0.039
NFR1,35,FR49,0.035
NFR1,36,FR30,0.034
NFR1,37,FR8,0.034
NFR1,38,FR32,0.033
NFR1,39,FR57,0.029
NFR1,40,FR44,0.028
NFR1,41,FR41,0.027
NFR1,42,FR38,0.025
NFR1,43,FR26,0.019
NFR1,44,FR56,0.017
NFR1,45,FR23,0.007
NFR1,46,FR28,0.007
NFR1,47,FR7,0.007
NFR1,48,FR17,0.007
NFR1,49,FR3,0.006
NFR1,50,FR35,0.006
NFR1,51,FR25,0.006
NFR1,52,FR29,0.006
NFR1,53,FR5,0.006
NFR1,54,FR6,0.005
NFR1,55,FR27,0.005
NFR1,56,FR24,0.005
NFR1,57,FR1,0.004
NFR1,58,FR2,0.004
NFR1,59,FR22,0.004
NFR1,60,FR48,0.003
NFR2,1,FR38,0.118
NFR2,2,FR58,0.108
NFR2,3,FR39,0.105
NFR2,4,FR56,0.078
NFR2,5,FR10,0.048
NFR2,6,FR9,0.046
NFR2,7,FR1,0.045
NFR2,8,FR54,0.036
NFR2,9,FR47,0.035
NFR2,10,FR59,0.032
NFR2,11,FR30,0.031
NFR2,12,FR45,0.030
NFR2,13,FR53,0.030
NFR2,14,FR37,0.029
NFR2,15,FR42,0.029
NFR2,16,FR43,0.029
NFR2,17,FR46,0.027
NFR2,18,FR52,0.027
NFR2,19,FR50,0.026
NFR2,20,FR13,0.025
NFR2,21,FR55,0.025
NFR2,22,FR44,0.025
NFR2,23,FR11,0.025
NFR2,24,FR40,0.024
NFR2,25,FR41,0.024
NFR2,26,FR51,0.023
NFR2,27,FR33,0.023
NFR2,28,FR34,0.023
NFR2,29,FR4,0.022
NFR2,30,FR49,0.020
NFR2,31,FR8,0.019
NFR2,32,FR32,0.019
NFR2,33,FR26,0.017
NFR2,34,FR57,0.017
NFR2,35,FR23,0.007
NFR2,36,FR28,0.006
NFR2,37,FR7,0.006
NFR2,38,FR17,0.006
NFR2,39,FR3,0.006
NFR2,40,FR35,0.005
NFR2,41,FR25,0.005
NFR2,42,FR18,0.005
NFR2,43,FR29,0.005
NFR2,44,FR5,0.005
NFR2,45,FR14,0.005
NFR2,46,FR15,0.005
NFR2,47,FR6,0.005
NFR2,48,FR27,0.004
NFR2,49,FR21,0.004
NFR2,50,FR19,0.004
NFR2,51,FR24,0.004
NFR2,52,FR16,0.004
NFR2,53,FR20,0.004
NFR2,54,FR31,0.004
NFR2,55,FR2,0.004
NFR2,56,FR12,0.004
NFR2,57,FR22,0.003
NFR2,58,FR36,0.003
NFR2,59,FR60,0.003
NFR2,60,FR48,0.003
NFR3,1,FR18,0.505
NFR3,2,FR54,0.121
NFR3,3,FR47,0.119
NFR3,4,FR36,0.113
NFR3,5,FR11,0.109
NFR3,6,FR46,0.109
NFR3,7,FR21,0.106
NFR3,8,FR19,0.103
NFR3,9,FR45,0.102
NFR3,10,FR16,0.101
NFR3,11,FR34,0.101
NFR3,12,FR10,0.100
NFR3,13,FR9,0.097
NFR3,14,FR20,0.097
NFR3,15,FR14,0.091
NFR3,16,FR15,0.089
NFR3,17,FR13,0.087
NFR3,18,FR55,0.085
NFR3,19,FR33,0.079
NFR3,20,FR24,0.077
NFR3,21,FR17,0.052
NFR3,22,FR5,0.044
NFR3,23,FR12,0.042
NFR3,24,FR38,0.041
NFR3,25,FR23,0.041
NFR3,26,FR22,0.040
NFR3,27,FR6,0.040
NFR3,28,FR39,0.038
NFR3,29,FR52,0.032
NFR3,30,FR27,0.028
NFR3,31,FR56,0.027
NFR3,32,FR28,0.005
NFR3,33,FR7,0.005
NFR3,34,FR59,0.005
NFR3,35,FR58,0.005
NFR3,36,FR30,0.005
NFR3,37,FR3,0.005
NFR3,38,FR53,0.005
NFR3,39,FR37,0.005
NFR3,40,FR42,0.005
NFR3,41,FR43,0.005
NFR3,42,FR35,0.004
NFR3,43,FR25,0.004
NFR3,44,FR29,0.004
NFR3,45,FR50,0.004
NFR3,46,FR40,0.004
NFR3,47,FR51,0.004
NFR3,48,FR4,0.003
NFR3,49,FR1,0.003
NFR3,50,FR31,0.003
NFR3,51,FR49,0.003
NFR3,52,FR2,0.003
NFR3,53,FR8,0.003
NFR3,54,FR32,0.003
NFR3,55,FR57,0.003
NFR3,56,FR60,0.003
NFR3,57,FR48,0.002
NFR3,58,FR26,0.000
NFR3,59,FR41,0.000
NFR3,60,FR44,0.000
