NFR,Rank,FR,Similarity
NFR1,1,FR38,0.241
NFR1,2,FR10,0.233
NFR1,3,FR53,0.202
NFR1,4,FR9,0.182
NFR1,5,FR17,0.169
NFR1,6,FR39,0.158
NFR1,7,FR23,0.152
NFR1,8,FR46,0.146
NFR1,9,FR25,0.129
NFR1,10,FR26,0.118
NFR2,1,FR9,0.121
NFR2,2,FR24,0.105
NFR2,3,FR28,0.098
NFR2,4,FR51,0.083
NFR2,5,FR1,0.000
NFR2,6,FR2,0.000
NFR2,7,FR3,0.000
NFR2,8,FR4,0.000
NFR2,9,FR5,0.000
NFR2,10,FR6,0.000
NFR3,1,FR2,0.469
NFR3,2,FR1,0.177
NFR3,3,FR3,0.000
NFR3,4,FR4,0.000
NFR3,5,FR5,0.000
NFR3,6,FR6,0.000
NFR3,7,FR7,0.000
NFR3,8,FR8,0.000
NFR3,9,FR9,0.000
NFR3,10,FR10,0.000
