NFR,Rank,FR,Similarity
NFR1,1,FR10,0.250
NFR1,2,FR38,0.234
NFR1,3,FR53,0.192
NFR1,4,FR39,0.184
NFR1,5,FR9,0.171
NFR1,6,FR23,0.164
NFR1,7,FR17,0.119
NFR1,8,FR46,0.094
NFR1,9,FR25,0.090
NFR1,10,FR26,0.077
NFR2,1,FR9,0.150
NFR2,2,FR24,0.130
NFR2,3,FR28,0.071
NFR2,4,FR51,0.059
NFR2,5,FR1,0.000
NFR2,6,FR2,0.000
NFR2,7,FR3,0.000
NFR2,8,FR4,0.000
NFR2,9,FR5,0.000
NFR2,10,FR6,0.000
NFR3,1,FR2,0.416
NFR3,2,FR1,0.125
NFR3,3,FR3,0.000
NFR3,4,FR4,0.000
NFR3,5,FR5,0.000
NFR3,6,FR6,0.000
NFR3,7,FR7,0.000
NFR3,8,FR8,0.000
NFR3,9,FR9,0.000
NFR3,10,FR10,0.000
