NFR,Rank,FR,Similarity
NFR1,1,FR33,0.353
NFR1,2,FR59,0.310
NFR1,3,FR54,0.283
NFR1,4,FR47,0.271
NFR1,5,FR11,0.268
NFR1,6,FR46,0.253
NFR1,7,FR45,0.233
NFR1,8,FR16,0.209
NFR1,9,FR13,0.204
NFR1,10,FR10,0.203
NFR2,1,FR58,0.294
NFR2,2,FR59,0.270
NFR2,3,FR38,0.244
NFR2,4,FR1,0.233
NFR2,5,FR7,0.224
NFR2,6,FR23,0.224
NFR2,7,FR39,0.197
NFR2,8,FR35,0.176
NFR2,9,FR14,0.169
NFR2,10,FR25,0.167
NFR3,1,FR18,0.664
NFR3,2,FR23,0.349
NFR3,3,FR55,0.331
NFR3,4,FR24,0.317
NFR3,5,FR21,0.275
NFR3,6,FR19,0.266
NFR3,7,FR34,0.257
NFR3,8,FR20,0.241
NFR3,9,FR27,0.231
NFR3,10,FR22,0.207
